2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,台股大盤收盤價(元),S&P500收盤價
1941641,143.41,233.47,94.9,47.93,60.99,19,124.47,95.93,26.86,18.76,33.69,498.31,20.74,86.78,193.41,186.22,4.76,67.62,74.03,67.12,"13,867.09","3,383.54"
1925495,141.08,235.35,93.67,47.84,60.22,20.9,124.91,96.87,26.81,18.42,33.94,33.44,0.22,25.54,195.16,186.78,5.44,70.44,89.64,76.67,"13,722.89","3,401.20"
3694079,140.14,230.65,93.29,47.37,59.94,21.05,124.47,96.4,26.71,18.23,33.44,73.41,-2.02,-28.12,197.03,187.35,6.26,73.26,86.68,83.45,"13,885.67","3,385.49"
2476053,148.55,232.53,92.05,46.95,59.46,20.65,125.8,95.46,26.47,18.62,33.34,446.06,34.5,-62.88,198.95,188.09,7.03,74.7,89.56,88.62,"13,989.14","3,357.01"
6881438,148.08,231.12,92.72,46.52,60.13,21.1,127.14,94.99,26,19.29,33.24,-60.32,10.67,17.32,201.23,188.97,7.93,77.34,94.81,90.35,"13,977.09","3,319.47"
2201883,147.62,229.7,96.42,46.66,59.84,21.55,127.58,94.05,25.85,18.86,32.94,127.03,-0.95,-30.81,203.75,189.96,8.92,79.63,96.58,93.65,"14,132.44","3,281.06"
3057996,147.15,228.76,104.02,47.27,60.7,21.45,129.36,95.46,25.76,18.91,33.09,67.18,33.35,3.95,206.26,191.02,10.37,83.26,87.45,92.94,"14,256.60","3,315.57"
4537719,152.29,225.47,104.97,46.8,59.75,21.1,129.36,95.46,25.52,18.86,35.13,-608.25,47.5,-97.09,208.95,192.03,11.61,84.17,75.4,86.48,"14,360.40","3,236.92"
3231978,155.09,228.29,102.6,46.62,59.56,21.1,127.58,95.93,25.9,18.47,33.64,77.19,41.58,-134.21,211.64,193.05,12.38,82.56,65.15,76,"14,390.14","3,246.59"
1883769,160.23,230.65,103.55,47.75,58.89,21.95,128.47,94.52,25.62,18.71,34.33,171.43,1,7.78,213.84,193.99,12.99,83.25,57.11,65.89,"14,249.49","3,298.46"
1568370,166.3,229.7,103.07,47.75,58.7,24.1,127.58,94.99,25.09,18.33,33.04,152.77,1.49,-19.84,216.24,194.98,13.09,78.23,48.91,57.06,"14,261.69","3,351.60"
2195662,163.5,230.17,108.77,47.27,57.46,23.2,125.8,94.52,24.85,18.33,32.99,452.4,0.54,-5.9,218.35,195.86,13.21,79.35,36.55,47.52,"14,211.05","3,335.47"
2339338,164.9,228.29,108.97,47.18,56.98,25.05,126.69,95.46,25.9,18.38,33.19,197.78,-27.31,7.01,220.27,196.74,12.81,72.17,29.74,38.4,"14,068.52","3,363.00"
3624596,168.64,224.06,101.7,47.18,57.17,24.45,125.8,94.99,25.09,17.94,32.54,773.33,-21.14,64.61,222.43,197.65,12.32,71.4,37.07,34.45,"14,304.46","3,380.80"
1719217,164.43,233.47,105.09,48.59,57.75,24.75,126.69,95.93,25.04,18.18,33.29,711.76,-14.88,-24.55,224.3,198.56,11.98,72.96,43.23,36.68,"14,258.93","3,348.44"
1924137,167.24,235.82,105.09,48.5,57.36,25.65,126.69,95.46,25.04,17.99,32.79,383.1,5.27,-15.31,226.17,199.56,11.5,71.28,54.9,45.07,"14,249.96","3,408.63"
1812701,162.56,228.29,105.09,47.93,57.46,27.6,125.8,95.93,24.71,17.94,32.99,108.13,26.91,-8.93,228.37,200.72,11.07,71.98,68.63,55.59,"14,384.96","3,360.95"
2026991,164.43,226.88,101.22,47.27,58.22,27.3,125.8,98.75,25.23,17.9,33.44,456.14,-17.54,48.9,230.17,201.75,11.37,77.75,60.08,61.2,"14,177.46","3,419.45"
1888364,160.23,222.64,100.25,46.76,56.7,27.9,126.25,99.69,25.38,17.99,32.84,-480.91,-12.52,-27.42,232.12,202.89,10.64,62.49,50,59.57,"14,223.09","3,446.83"
909899,161.16,220.76,99.76,46.99,56.79,28.35,125.36,101.57,25.23,18.09,32.94,-25.54,-43.15,-1.49,233.63,203.93,10.02,63.2,25,45.03,"14,280.28","3,477.13"
1122721,159.76,226.41,101.22,46.99,58.79,27.55,124.91,101.57,25.66,18.09,34.13,306.16,-27.75,-0.5,235.02,204.95,9.38,62.56,28.11,34.37,"14,331.42","3,534.22"
625412,159.76,231.59,100.25,46.9,64.61,26.95,125.36,101.57,26,18.09,34.03,233.56,-35.61,4.73,236.46,206,8.89,63.74,46.13,33.08,"14,483.07","3,511.93"
1214189,158.83,229.7,103.64,47.04,68.89,26.8,125.36,103.45,26.28,18.42,34.83,503.66,0.25,-28.92,237.82,207.05,8.82,67.75,66.96,47.07,"14,472.05","3,488.67"
660029,156.96,231.12,100.73,47.09,64.32,26.15,124.91,103.92,25.76,18.23,38.31,157.9,6.89,-31.94,239.17,208.15,8.75,68.43,87.65,66.91,"14,687.70","3,483.34"
1667296,158.83,229.23,101.22,48.59,64.51,26.55,125.8,103.92,26.71,18.81,38.36,426.4,0,153.99,240.41,209.3,8.93,71.37,89.41,81.34,"14,732.53","3,483.81"
1895414,156.96,229.23,101.22,47.84,63.94,26.45,125.36,102.04,26.71,19.39,37.77,388.98,-19.2,77.06,241.28,210.45,9.21,73.16,83.82,86.96,"14,902.03","3,426.92"
2553353,165.37,251.83,110.9,48.03,65.75,26.8,124.91,102.98,26.57,19.34,39.16,212.8,-2.15,136.32,242.55,211.74,9.47,74.32,79.1,84.11,"15,000.03","3,443.12"
5052768,168.17,249.94,116.71,47.93,65.37,26.15,125.36,102.51,26.47,19.48,39.26,-157.61,231.92,137.01,244.9,213.39,10.44,79.72,79.4,80.77,"14,983.13","3,435.56"
9123977,164.9,251.36,114.78,46.52,63.46,25.7,124.91,100.16,25.62,18.95,37.72,-588.55,466.37,-210.42,248.02,215.34,12.74,85.75,86.17,81.56,"15,214.00","3,453.49"
7787513,161.16,252.77,116.71,47.04,63.56,25.35,125.36,103.92,26.05,20.83,41.45,-904.08,62.52,182.81,250.99,217.19,15.76,88.77,85.28,83.62,"15,463.95","3,465.39"
9708435,160.7,248.53,117.2,46.76,64.42,25.1,125.36,105.8,26.09,22.9,45.58,-1559.61,108.43,-222.74,253.99,219.08,17.5,82.5,81.81,84.42,"15,557.30","3,400.97"
5137076,170.04,251.83,116.23,46.71,65.08,24.4,125.8,103.92,25.52,24.92,50.06,-396.57,17.81,-256.01,257.25,220.96,18.89,83.14,76.27,81.12,"15,500.70","3,390.68"
5913591,186.86,245.71,115.26,46.57,62.03,25.4,124.91,100.63,25,22.85,55.03,-416.05,26.69,127.24,260.46,222.81,19.84,83.36,68.83,75.64,"15,769.98","3,271.03"
5008356,191.53,250.42,116.71,47.37,62.61,25.15,125.36,100.63,25.04,22.8,55.03,-981.25,26.56,114.48,263.24,224.56,20.24,81.65,48.5,64.53,"15,707.19","3,310.11"
5878653,187.79,257.95,121.07,47.27,63.65,25.2,125.36,99.69,25.04,22.27,57.72,-483.79,15.91,10.4,265.76,226.24,19.83,74.51,26.84,48.06,"15,616.39","3,269.96"
6052412,177.98,258.89,116.71,47.09,61.46,24.45,124.91,97.81,24.14,21.31,57.02,-855.67,-31.75,-26.73,267.75,227.8,18.78,68.1,14.29,29.88,"15,612.00","3,310.24"
7508329,175.64,264.54,115.75,46.95,61.27,25.15,124.02,96.4,23.85,22.13,62.7,-1420,-10.98,167.96,269.48,229.39,16.98,59.61,19.78,20.3,"15,877.37","3,369.16"
