date,2308 adjclose,2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,taiwan_index,SP500
2011/9/13,53.2543,1078473,-0.015429105,0.009414637,0.067230204,0,-0.004276712,0.012931034,0.013831913,0,-0.003476169,-0.011017572,0.00534654,-73.71,1.03,4.9,55.24867,64.10014667,-1.91052111,39.49907354,12.56323261,11.97110691,-0.028802048,0.009120084
2011/9/14,50.8178,1099008,-0.017093331,0.003729388,0.031497517,-0.012497185,-0.025750989,-0.038297872,-0.035087649,-0.029629382,-0.041812012,-0.001599634,-0.039895282,-228.74,30.37,-1.84,54.94237,63.74888,-2.027299128,35.82684519,11.18742374,12.52975674,-0.022039216,0.013479755
2011/9/15,51.1658,837573,-0.052173824,-0.007431062,-0.022899155,-0.017407365,-0.030833567,-0.057522124,0.011902005,-0.011451515,-0.061819264,-0.006370642,-0.069248502,-204.98,0.37,18.62,54.719605,63.43654333,-2.290053426,31.42224086,12.76929814,12.17331816,0.021748724,0.017187132
2011/9/16,54.7161,698085,0.022934841,0.026216925,0,0.01771575,0.006812974,0.037558685,0.013073899,0.030889046,0.011630612,0.0112297,0.029756008,-272.98,-2.5,21.32,54.827505,63.22755333,-2.442056897,32.69499123,37.68075449,20.54582546,0.025958341,0.005706677
2011/9/19,53.9504,1481465,0.06128726,-0.007302005,0.015620284,0.026897731,0.029350449,0.031674208,0,0.026217007,0.042151801,0.019058828,0.040468386,-190.68,238.08,22.17,55.06419,63.02236667,-2.250103412,44.09447454,58.33308503,36.26104589,-0.012737878,-0.009802551
2011/9/20,54.9946,820200,-0.009860728,-0.025735075,0,-0.020033485,0,-0.013157895,-0.008604797,-0.01459842,0.011021853,-0.026488833,-0.016669969,-110.21,116.33,10.93,55.36005,62.806975,-2.135151783,42.42552471,82.83529719,59.6163789,0.001600079,-0.001661005
2011/9/21,55.6211,548598,0.00995893,0.007550016,-0.007684714,-0.001572541,0.006573923,0.066666667,-0.007593021,0.007407345,0.003640512,0.007998316,0.011297234,-84.61,19.36,6.4,55.51668,62.59650333,-1.937459745,45.45735594,88.50746898,76.55861707,0.005742808,-0.029390478
2011/9/22,54.4377,706109,-0.001408392,0.003743348,-0.00388281,0.014175158,-0.006530989,0.033333333,0.069946614,0.01102932,0,-0.004764707,0.013967111,-87.01,-5.67,1.68,55.586295,62.360785,-1.710516299,47.25209902,85.53128413,85.62468343,-0.030571081,-0.031883164
2011/9/23,53.6719,611497,-0.012695392,0,-0.003887207,-0.018631567,0.008771872,-0.040322581,-0.007150932,-0.047272339,-0.021744072,-0.015945678,-0.035809027,23.15,-4.22,0.31,55.607175,62.09021667,-1.607620822,44.2876505,68.82800535,80.95558615,-0.035491068,0.006082014
2011/9/26,52.9062,756218,-0.048571486,0.003729388,-0.007815532,-0.028484779,-0.006523342,-0.012605042,-0.043206898,-0.03435208,-0.033330976,-0.030799349,-0.045718866,28.53,-9.71,43.72,55.46447,61.81240833,-1.5697737,42.43245596,44.03704972,66.13211307,-0.023998683,0.023336237
2011/9/27,53.3935,393923,-0.003002882,0,-0.023620422,-0.027686371,-0.045949975,-0.05106383,-0.043011881,-0.067193162,-0.068960472,-0.038457693,-0.065862722,-8.13,-1.52,29.64,55.24519,61.54272167,-1.583313719,40.60110073,33.96304829,48.94270112,0.030947548,0.010688336
2011/9/28,51.6531,618000,0.016567719,-0.011153287,0.004028265,0.006701073,0.036696993,0.031390135,-0.015732033,0.02542352,0.041490795,0.026102329,0.016018655,-122.57,-1.07,4.37,54.93889,61.22746333,-1.537005601,42.30763576,25.94886295,34.64965365,0.00804378,-0.020691181
2011/9/29,49.8432,1138191,-0.02814906,0,0.004023186,0.004992351,0,-0.008695652,-0.005704717,0.04958638,-0.004063551,-0.001702645,0.009465663,-263.19,-0.15,-25.82,54.47248,60.84890833,-1.622043906,38.09772229,19.25586156,26.3892576,0.004985322,0.00811426
2011/9/30,50.4697,1174981,0,0,-0.004007065,0.019865432,0.0022107,-0.00877193,-0.003445914,0.007873956,0.012240392,-0.001705549,0.012505015,-660.3,1,3.65,54.00259,60.49736,-1.814564015,34.27777615,15.53635335,20.24702595,0.00595466,-0.024974147
2011/10/3,50.1216,959026,-0.03658602,0.069549852,0.012047392,0.009741581,0.006624154,0.008849558,-0.008065388,0.00390622,0.024195445,0.008501637,0.006171616,-201.7,-44.01,-4.35,53.515295,60.14001,-1.894742858,36.64579341,15.25798159,16.68339883,-0.029259361,-0.028450973
2011/10/4,49.8432,563803,-0.01898658,-0.050962147,-0.015868322,-0.022506429,-0.008771872,-0.035087719,-0.034842021,0,-0.023623856,0,-0.018408577,15.62,14.4,2.3,53.1185,59.794585,-1.963737189,35.87239963,21.32198397,17.3721063,0.004833211,0.022488469
2011/10/5,48.0332,604924,-0.053225902,0,0,-0.008224776,0,-0.009090909,-0.014442634,0.003891021,-0.016123169,0.010124029,-0.02499517,-115.85,6.01,14.11,52.75651,59.43003667,-2.017622353,35.23198167,13.09136343,16.55710966,-0.008331595,0.017865563
2011/10/6,48.5902,1147464,-0.069846228,-0.003708422,0,0.001658597,-0.008849498,0,-0.015872798,0.02325689,0,-0.006668397,0,-430.01,-61.89,6.49,52.401485,59.10238,-2.181234691,31.31742046,13.12108029,15.84480923,0.020438823,0.018303716
2011/10/7,48.1725,1254485,-0.010988557,-0.007431062,0.008067657,0,0.013389387,0.02293578,0.012409639,0,0.004096846,0.003356582,0.022435262,-251.56,36.16,12.22,52.032535,58.78985,-2.240130572,33.75663341,9.82608494,12.01284289,0.011211441,-0.0081633
2011/10/11,50.1216,749343,0.048146139,0.003743348,0.020002208,0.011590952,-0.004401937,0.004484305,0.013480522,0.007575693,0.004080131,-0.020112179,0.02821132,-187.53,-11.21,-15.99,51.788885,58.50428333,-2.294066312,32.81544751,35.40680697,19.45132407,0.025894486,0.034124937
2011/10/12,49.6344,1527387,0.012369487,0.018653657,-0.011774637,0.00817967,0.011060198,-0.040178571,0.021761912,0.007518733,0.05691127,0.027353013,0.027437278,-337.68,15.48,16.99,51.60789,58.18298667,-2.154696692,41.07189278,49.35972562,31.53087251,-0.002211196,0.000543983
2011/10/13,50.4001,546501,-0.02966963,-0.014650976,-0.007928686,0.001623597,-0.006566175,0.004651163,-0.007099473,-0.022387871,-0.007699682,-0.00165161,-0.026704578,-307.8,12.83,18.18,51.587005,57.89101833,-2.059813979,39.75669287,74.41816441,53.06156567,0.006228369,0.009794737
2011/10/14,49.2167,627448,0.001798488,0,-0.004007065,0.004862895,0,0.027777778,0.036949591,0.007633522,0.058149454,0.024994519,0.018289103,74.79,24.98,-19.4,51.48955,57.55723833,-1.900920526,42.85389628,64.34155141,62.70648048,-0.009457038,-0.002973701
2011/10/17,49.8432,436464,0.035907719,-0.007431062,0.008035289,-0.006452483,0,-0.004504505,0,0.007575693,-0.018317971,-0.014642684,0.023954611,-118.92,-29.41,-0.07,51.245905,57.20629167,-1.849170721,39.47596163,58.85322464,65.87098015,0.014003653,0.017380323
2011/10/18,48.4509,569048,0,-0.005618394,-0.011951359,0.001623597,0.002200968,0.013574661,-0.004596968,0.007518733,0.018659781,0.016517998,0.026314143,32.58,-17.76,1.58,50.97093,56.80453,-1.737575623,42.07894611,35.43445958,52.87641188,-0.01362262,-0.019369906
2011/10/19,49.3559,547571,-0.022531835,0.001878858,0.004028265,-0.00648386,0.068133419,-0.017857143,0.004618197,-0.003731312,-0.036635942,-0.00974587,-0.028491302,-194.11,-38.42,4.94,50.688995,56.43441833,-1.741408801,38.15197967,36.59701721,43.62823381,-0.000830222,0.0204187
2011/10/20,49.2167,282517,0.012413349,0.007521648,0,-0.003258386,-0.020572952,-0.004545455,0,-0.003745287,0.011412786,0,-0.011727956,117.84,10.64,-2.41,50.368775,56.06546833,-1.652373157,41.94456744,40.20985937,37.41377872,-0.014829935,-0.012649137
2011/10/21,48.799,255981,-0.008758667,-0.011194882,-0.004012103,-0.004910632,0.002099237,-0.02283105,0,0.0112781,-0.015042016,-0.01803674,0,-17.53,17.68,1.06,50.08684,55.70115833,-1.574889696,41.52280119,48.04260615,41.61649425,0.001406619,0.004554171
2011/10/24,50.957,225919,0.019436344,-0.007543221,-0.016124186,0.006579821,-0.006290865,0,-0.013795215,-0.007434882,0,-0.02337932,0,-107.32,7.01,11.64,49.951095,55.35541167,-1.529556617,40.21601348,62.48747623,50.24664725,0.029745634,0.018808777
2011/10/25,51.0962,1024241,0.032927576,0.019008231,0.016388436,0.021239922,0.014769482,0.018691589,0.025641362,0.014981147,0.01144621,0.022221768,0.029674889,186.07,5.42,12.88,49.860595,55.02358667,-1.304460255,49.1244094,70.87332314,60.46780184,0.002799084,0.012873006
2011/10/26,52.0012,669932,0.025169137,0.003729388,0.004028265,-0.00800107,-0.018709357,0.004587156,-0.007951159,0,0,-0.013359198,0.008647271,53.51,11.74,5.95,49.79098,54.66043667,-1.102132789,49.64563322,90.41636573,74.59238837,0.005954979,-0.02004481
2011/10/27,51.4443,507780,-0.040917138,0.003722226,-0.008024206,0.006452483,-0.006357495,0.01369863,0.014890929,0,-0.011316677,0.008472687,0.008566343,132.29,1.57,7.47,49.78054,54.30540833,-0.858860469,53.01586706,85.83566061,82.3751165,0.00390004,0.010536593
2011/10/28,51.5835,572695,0.00341283,-0.003708422,0.052623934,0.009616673,0.006398172,0,0.022573966,0.036900061,0.068707621,0.013446425,0.067989088,83.88,-10.79,-0.22,49.867555,53.95850167,-0.702899985,50.76425168,81.65041357,85.96747997,0.006721558,0.034291465
2011/10/31,49.6344,1037787,0.010203666,0.001861113,-0.023075372,-0.001587512,-0.004240469,0.004504505,-0.00221129,0.014234761,0.007140219,0.003312046,0.050397644,76.47,15.71,2.89,49.82579,53.61391667,-0.561594193,51.32076908,54.34557606,73.94388342,-0.003725023,0.000389229
2011/11/1,49.4951,917367,0.016836709,0.001857655,0.00394398,-0.004770109,0.002126042,-0.044843049,-0.034288702,0,0.035457392,-0.03140999,-0.030303212,-509.15,3.28,7.77,49.794465,53.32966167,-0.599968354,43.8473237,34.48106286,56.82568416,0.004523116,-0.024737567
2011/11/2,49.8432,509477,0.069535837,-0.011111926,0.007835328,0.014374312,-0.002121532,-0.009389671,-0.012600347,-0.014034976,-0.013693654,-0.005122449,-0.010414667,-213.16,-12.73,5.83,49.794465,53.12778333,-0.634308584,43.36132851,21.69743253,36.84135715,-0.003091048,-0.027942233
2011/11/3,49.704,423624,-0.00464377,0.009361742,-0.003887207,-0.007870549,0,-0.028436019,-0.0092836,0.00355869,0.013883774,0.001723112,-0.021048548,-120,-4.3,4.73,49.878005,52.91198167,-0.626216074,45.00182295,24.8482949,27.0089301,-0.018180024,0.016104672
2011/11/4,49.704,334626,-0.017108788,0,-0.007815532,-0.011112585,-0.01489518,-0.009756098,-0.015222272,-0.021276425,-0.013693654,-0.012000082,0.013435001,-3.21,2.93,5.07,49.933695,52.74143,-0.623843696,44.44741669,28.78813601,25.11128781,0.019157381,0.018781808
2011/11/7,51.0266,973381,0.034810959,0.027831421,0.007877096,0.014448166,0.019443318,0.014778325,0.017835316,0.007246318,0.017354718,0.024270939,0.026526403,-266.82,1.79,19.78,50.0764,52.58131833,-0.614875666,44.44741669,48.03813531,33.89152207,0.002431861,-0.006279983
2011/11/8,51.5139,710103,0.015289894,-0.025270453,0,0,0,0,-0.01401648,0.007194186,-0.010235201,-0.00167955,-0.012920468,-3.08,9.6,33.35,50.146015,52.48502,-0.495335748,51.08754037,67.92178282,48.24935138,-0.002746099,0.006295732
2011/11/9,50.4001,985134,0.001505963,0.011105256,0.007815532,0.00632539,0.004234053,0.019417476,0.014215734,-0.0035714,0.006894029,0.008472687,0.002620408,102.12,9.18,9.77,50.1843,52.34695333,-0.357161332,53.30226776,71.48214031,62.48068614,-0.005121836,0.0117356
2011/11/10,49.2167,580539,-0.031577677,-0.021973165,-0.007754923,-0.00314055,0.021100173,-0.019047619,0,0.010752601,-0.013693654,0.038650936,-0.002613559,-101.43,2.9,1.16,50.12513,52.21816833,-0.33368495,47.95723474,47.49985036,62.30125783,-0.033481181,-0.036695091
2011/11/11,49.704,580401,-0.006210922,0.007486696,-0.031251348,-0.017352445,-0.037192978,-0.054368932,-0.036211431,-0.014184284,-0.045140679,-0.032374797,-0.036648367,-164.87,-26.72,-2.26,50.149495,52.11955,-0.405891375,43.02101592,29.0604592,49.34748329,0.008019232,0.008616061
2011/11/14,50.6089,237798,0.032811128,-0.003715531,-0.004028265,0.033707761,0.00429508,-0.032854209,0.001209652,0,-0.014549767,0.006699598,0.005433729,8.85,3.5,-1.14,50.18778,52.08706333,-0.418964884,45.50827134,34.04242313,36.86757756,0.021495014,0.019488743
2011/11/15,50.2609,323843,0.018155707,0.011194882,0.004044557,0.001553004,-0.02564086,0.042462845,0,0.003597093,0.011075887,0.001668719,0.027028243,-13.3,16.07,5.82,50.27828,52.10446667,-0.352247377,49.88326394,46.13196162,36.41161465,-0.004596281,-0.009550184
2011/11/16,49.0774,455788,0.005943288,-0.005535472,-0.004028265,-0.012404764,-0.008771872,-0.016293279,-0.007262768,0,-0.010954556,-0.008309865,-0.021048548,-70.76,2.09,-0.43,50.264355,52.10446667,-0.323722295,48.27795386,40.9637898,40.37939152,-0.013821809,0.00481714
2011/11/17,49.1471,554094,0.008862261,0.001857655,-0.008100287,0.001570072,0.0022107,-0.008281573,-0.009754535,-0.028673603,-0.018443505,-0.0049997,-0.00538167,-256.76,0,-1.55,50.260875,52.04877667,-0.392094698,43.18771672,27.53002454,38.20859199,0.0000393,-0.016616182
2011/11/18,49.1471,260089,-0.004392205,0,-0.008166438,-0.009401146,0.004411647,0.017745303,-0.00615895,-0.014760025,0,-0.013446425,-0.024322848,-83.24,3.6,-15.46,50.27828,51.983805,-0.43563439,43.56510299,16.19055437,28.22812291,-0.02084921,-0.016799929
2011/11/21,48.7294,383192,-0.033824199,-0.014820348,-0.00411116,0,-0.010987329,-0.008205128,-0.028503022,-0.033708789,-0.02255804,-0.051116453,-0.027702035,-31.49,6.14,19.63,50.1669,51.90839,-0.46478219,43.56510299,18.83754819,20.85270904,-0.026423253,-0.000394695
2011/11/22,46.5714,416446,-0.04109636,0,-0.045455064,-0.025319804,-0.031107642,-0.015511892,-0.057396073,-0.042635339,-0.061536265,-0.048480945,-0.051278925,-9.45,0.42,20.37,49.94066,51.75524167,-0.51564292,41.64253344,14.8182292,16.61544392,-0.006050288,-0.01864846
2011/11/23,44.6918,619047,-0.003174475,-0.022551402,-0.017322741,0.003247194,-0.022939093,-0.069327731,-0.062246478,0.024291308,-0.028688792,-0.043391926,-0.033037257,-110.92,-8.9,6.09,49.57519,51.53712,-0.721762946,33.43342745,10.57382213,14.74319984,-0.027657024,-0.004140891
2011/11/24,45.8056,755263,-0.014330632,-0.007695185,-0.057260957,-0.022652122,-0.009389638,0.015801354,0.001440064,-0.007905078,-0.042200891,-0.069019201,-0.018629963,-199.28,3.15,-20.61,49.293255,51.33756167,-1.024967377,28.21603622,12.82761149,12.73988761,0.008515477,-0.022095216
2011/11/25,46.641,571626,-0.001615443,-0.01937668,-0.00934941,0.018209582,0.014221546,-0.036666667,0.051875878,0.011952099,0,0.016950441,-0.025319027,-51.52,33.23,7.44,49.04613,51.12872167,-1.161990023,34.71729025,27.05311414,16.81818259,-0.011635411,-0.002685511
2011/11/28,47.0587,1114345,0,0.011851462,-0.004712315,-0.014631449,-0.018691457,-0.032295271,0.019180166,-0.039369779,-0.017614765,-0.020853577,0.003249986,142.24,-13.33,9.58,48.917345,50.91524167,-1.189460302,39.16746969,44.77531829,28.21868131,0.01684128,0.029240422
2011/11/29,47.3371,504043,0.016180566,0.007815468,-0.014216956,0.006601539,0.014282007,-0.003575685,0.01612643,0,0.026895912,0.042569975,-0.003239458,-196.04,2.57,3.18,48.809445,50.70640167,-1.164106699,41.32131452,56.32573122,42.71805455,0.013026941,0.002213744
